variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
12_cuneus_volume_lh,Cuneus,lh,volume,CSE_NI,46,0.3119803143426226,0.04706188905951068,0.038975642768221186,0.5633227463972071,Edad+Genero+Grupo+eTIV,0.34296399179887793,17,0.18246652996017326,19,,10,volume_CSE_NI,B,0.8235830585414369,False,70,2,2,True
12_cuneus_volume_lh,Cuneus,lh,volume,EntropyRatio_NI,46,0.14594471376839788,0.36256381152937595,-0.14610092046943707,0.41156384879963404,Edad+Genero+Grupo+eTIV,0.14101232491303753,17,0.22764672311765086,19,,10,volume_EntropyRatio_NI,B,0.8716044516344055,False,70,2,2,True
12_cuneus_volume_rh,Cuneus,rh,volume,CSE_NI,46,0.4192102963708667,0.0063686425821809015,0.15858898552345935,0.6435311015371241,Edad+Genero+Grupo+eTIV,0.05626863199952104,17,0.6084460785870834,19,,10,volume_CSE_NI,B,0.4458049807526631,False,70,2,2,True
12_cuneus_volume_rh,Cuneus,rh,volume,EntropyRatio_NI,46,0.3039634026338368,0.0533451123858039,0.031871824407799905,0.5352542259993166,Edad+Genero+Grupo+eTIV,0.2659179437148072,17,0.47421648283403695,19,,10,volume_EntropyRatio_NI,B,0.46676973337578415,False,70,2,2,True
12_cuneus_LGI_lh,Cuneus,lh,LGI,CSE_NI,45,0.14467128047842476,0.3668120161748346,-0.20126893072343513,0.4477109594485875,Edad+Genero+Grupo,0.15756530053899223,17,0.22895643713422348,18,,10,LGI_CSE_NI,B,0.7597739921635027,False,18,2,2,True
12_cuneus_LGI_lh,Cuneus,lh,LGI,EntropyRatio_NI,45,-0.032717283517823145,0.8390815400269933,-0.30457295178621235,0.2606017943764713,Edad+Genero+Grupo,0.038769723831729955,17,-0.08476792557426628,18,,10,LGI_EntropyRatio_NI,B,0.8694307920291662,False,18,1,2,False
12_cuneus_LGI_rh,Cuneus,rh,LGI,CSE_NI,45,0.21356394682522367,0.18001313541894454,-0.11367108405179137,0.4990125508211105,Edad+Genero+Grupo,0.07257036086084648,17,0.4092100840708772,18,,10,LGI_CSE_NI,B,0.7597739921635027,False,18,2,2,True
12_cuneus_LGI_rh,Cuneus,rh,LGI,EntropyRatio_NI,45,0.07636192901377434,0.6351236365176113,-0.20985336217115574,0.3423091498130534,Edad+Genero+Grupo,0.08189925063072716,17,0.27215683452990913,18,,10,LGI_EntropyRatio_NI,B,0.8694307920291662,False,18,2,2,True
13_middletemporal_thickness_lh,Temporal medio,lh,thickness,CSE_NI,46,0.0414551531833715,0.7943513891027572,-0.2840578939053297,0.3542586423917373,Edad+Genero+Grupo,0.05395984334522847,17,0.0804180280331538,19,,10,thickness_CSE_NI,B,0.9301761885570212,False,18,2,2,True
13_middletemporal_thickness_lh,Temporal medio,lh,thickness,EntropyRatio_NI,46,0.03256276613841429,0.8377937026602098,-0.2761915835435536,0.3672043565055277,Edad+Genero+Grupo,0.08854992783834469,17,0.22348587959296973,19,,10,thickness_EntropyRatio_NI,B,0.921857658876935,False,18,2,2,True
