variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
3_superiortemporal_area_rh,Temporal superior,rh,area,CSE_NI,46,0.18912127850412797,0.23631766463170245,-0.12720363733805862,0.5018168800018078,Edad+Genero+Grupo+eTIV,0.009149151956287321,17,0.39876848023307376,19,,10,area_CSE_NI,B,0.6616894609687668,False,14,2,2,True
3_superiortemporal_area_rh,Temporal superior,rh,area,EntropyRatio_NI,46,0.22362928005817193,0.15986787029792593,-0.07633829168313244,0.47937660081835265,Edad+Genero+Grupo+eTIV,0.18866215002805856,17,0.4188331460892424,19,,10,area_EntropyRatio_NI,B,0.7166391190797449,False,14,2,2,True
3_superiortemporal_volume_lh,Temporal superior,lh,volume,CSE_NI,46,0.17949990258789017,0.2614517907262253,-0.13137407922043812,0.4817437001432905,Edad+Genero+Grupo+eTIV,-0.07815041180938556,17,0.14796605615150119,19,,10,volume_CSE_NI,B,0.597604093088515,False,16,1,2,False
3_superiortemporal_volume_lh,Temporal superior,lh,volume,EntropyRatio_NI,46,0.2949741797012157,0.061172794119824576,-0.008384633216891877,0.539523012863897,Edad+Genero+Grupo+eTIV,0.3997272375248844,17,0.26898568226012276,19,,10,volume_EntropyRatio_NI,B,0.41436148106741777,False,16,2,2,True
3_superiortemporal_volume_rh,Temporal superior,rh,volume,CSE_NI,46,0.1252350793663686,0.4352874186052576,-0.16883051422425066,0.42901091108321865,Edad+Genero+Grupo+eTIV,-0.27554987708281914,17,0.3389858768861855,19,,10,volume_CSE_NI,B,0.633145336153102,False,16,1,2,False
3_superiortemporal_volume_rh,Temporal superior,rh,volume,EntropyRatio_NI,46,0.17465588393388942,0.2747541736773713,-0.17423698428963996,0.42154149047724326,Edad+Genero+Grupo+eTIV,0.07584934782969244,17,0.484278824604019,19,,10,volume_EntropyRatio_NI,B,0.43212968655388023,False,16,2,2,True
3_superiortemporal_LGI_lh,Temporal superior,lh,LGI,CSE_NI,45,0.136155222339423,0.3959811860227149,-0.1759743873181544,0.42584907646231607,Edad+Genero+Grupo,0.3225998873782568,17,0.2858670697074949,18,,10,LGI_CSE_NI,B,0.7761336173250815,False,14,2,2,True
3_superiortemporal_LGI_lh,Temporal superior,lh,LGI,EntropyRatio_NI,45,-0.1607746485865375,0.3152940999107649,-0.4315998000100406,0.14396057665040596,Edad+Genero+Grupo,0.33551263209091226,17,0.08285345789219682,18,,10,LGI_EntropyRatio_NI,B,0.8982939080061468,False,14,0,2,False
3_superiortemporal_LGI_rh,Temporal superior,rh,LGI,CSE_NI,45,0.3060184130092734,0.05167373968669171,0.0636429603453513,0.5587039375897416,Edad+Genero+Grupo,0.21907051615244894,17,0.44447235164012666,18,,10,LGI_CSE_NI,B,0.6043384467853379,False,14,2,2,True
3_superiortemporal_LGI_rh,Temporal superior,rh,LGI,EntropyRatio_NI,45,0.03288593101969087,0.8382630387836606,-0.257090419847418,0.3630593144639491,Edad+Genero+Grupo,-0.04703418497464009,17,0.28267114693066403,18,,10,LGI_EntropyRatio_NI,B,0.8982939080061468,False,14,1,2,False
4_Hippocampus_volume_lh,Hipocampo,lh,volume,CSE_NI,46,0.06126248252064837,0.7035758515251742,-0.2619222222820086,0.37529062023192317,Edad+Genero+Grupo+eTIV,-0.05474885868500169,17,-0.006668400956053593,19,,10,volume_CSE_NI,B,0.8537245907281243,False,16,0,2,False
4_Hippocampus_volume_lh,Hipocampo,lh,volume,EntropyRatio_NI,46,0.14902156465759356,0.35242223184091426,-0.1444558840938711,0.4227817373602004,Edad+Genero+Grupo+eTIV,0.3027666721543611,17,0.17823400224812772,19,,10,volume_EntropyRatio_NI,B,0.43375043918881756,False,16,2,2,True
4_Hippocampus_volume_rh,Hipocampo,rh,volume,CSE_NI,46,-0.02054900866762315,0.8985271728277023,-0.3392433377646615,0.30666183052290213,Edad+Genero+Grupo+eTIV,-0.06495069601960372,17,-0.0016350610929700522,19,,10,volume_CSE_NI,B,0.8985271728277023,False,16,2,2,True
4_Hippocampus_volume_rh,Hipocampo,rh,volume,EntropyRatio_NI,46,0.20119092446009104,0.20718074053370888,-0.0877128436220082,0.4512521592157513,Edad+Genero+Grupo+eTIV,0.3256919140746825,17,0.198336722538771,19,,10,volume_EntropyRatio_NI,B,0.41436148106741777,False,16,2,2,True
5_parahippocampal_thickness_lh,Corteza parahipocampal,lh,thickness,CSE_NI,46,0.09408789051725122,0.5533988467793539,-0.25494532097278527,0.38600631066567354,Edad+Genero+Grupo,-0.12258536139064363,17,0.3501389203615805,19,,10,thickness_CSE_NI,B,0.7449145113082601,False,14,1,2,False
5_parahippocampal_thickness_lh,Corteza parahipocampal,lh,thickness,EntropyRatio_NI,46,0.14255997953257515,0.36778800109584164,-0.17779924267780942,0.44916253283555324,Edad+Genero+Grupo,-0.44141645053540446,17,0.3748477158976258,19,,10,thickness_EntropyRatio_NI,B,0.603881805408458,False,14,1,2,False
5_parahippocampal_thickness_rh,Corteza parahipocampal,rh,thickness,CSE_NI,46,0.09277000626085208,0.5589936952240863,-0.31750690035789125,0.4170840609299186,Edad+Genero+Grupo,-0.3028651441289862,17,0.5774177169576608,19,,10,thickness_CSE_NI,B,0.7449145113082601,False,14,1,2,False
5_parahippocampal_thickness_rh,Corteza parahipocampal,rh,thickness,EntropyRatio_NI,46,0.14639979872551334,0.3548908510827854,-0.21685911004042355,0.4275120125723814,Edad+Genero+Grupo,-0.3922285408062607,17,0.43623507037889053,19,,10,thickness_EntropyRatio_NI,B,0.603881805408458,False,14,1,2,False
5_parahippocampal_area_lh,Corteza parahipocampal,lh,area,CSE_NI,46,-0.06731833287471509,0.6758065127897366,-0.4106546301437698,0.31543529688636135,Edad+Genero+Grupo+eTIV,-0.27677958218410004,17,0.13634958247129225,19,,10,area_CSE_NI,B,0.9461291179056311,False,14,1,2,False
5_parahippocampal_area_lh,Corteza parahipocampal,lh,area,EntropyRatio_NI,46,0.016275478550794007,0.9195523269181123,-0.3405824139792795,0.35231522629699336,Edad+Genero+Grupo+eTIV,-0.009867078554909769,17,0.18304309635507582,19,,10,area_EntropyRatio_NI,B,0.9807060693767871,False,14,1,2,False
5_parahippocampal_area_rh,Corteza parahipocampal,rh,area,CSE_NI,46,-0.30845876174088976,0.049743925818707166,-0.5729468334289448,-0.0007942831504521425,Edad+Genero+Grupo+eTIV,-0.22817119742532943,17,-0.40916775635321234,19,,10,area_CSE_NI,B,0.23213832048730013,False,14,2,2,True
5_parahippocampal_area_rh,Corteza parahipocampal,rh,area,EntropyRatio_NI,46,-0.22617382713565487,0.15504531597179258,-0.47922421661344766,0.07113896786317221,Edad+Genero+Grupo+eTIV,0.32079689946219614,17,-0.44606044504483067,19,,10,area_EntropyRatio_NI,B,0.7166391190797449,False,14,1,2,False
5_parahippocampal_volume_lh,Corteza parahipocampal,lh,volume,CSE_NI,46,-0.0407354120560108,0.8003668038076166,-0.3761523602137869,0.3389132757979735,Edad+Genero+Grupo+eTIV,-0.3739987051708143,17,0.34583382567663734,19,,10,volume_CSE_NI,B,0.8537245907281243,False,16,1,2,False
5_parahippocampal_volume_lh,Corteza parahipocampal,lh,volume,EntropyRatio_NI,46,0.044726576697207136,0.7812641123620678,-0.31445169230924674,0.40668171310848533,Edad+Genero+Grupo+eTIV,-0.4698705362302342,17,0.39498094598439054,19,,10,volume_EntropyRatio_NI,B,0.833348386519539,False,16,1,2,False
5_parahippocampal_volume_rh,Corteza parahipocampal,rh,volume,CSE_NI,46,-0.32051985399680527,0.04104128151775146,-0.5564268054399246,-0.021001436045757455,Edad+Genero+Grupo+eTIV,-0.4579238673779785,17,-0.12782400436280655,19,,10,volume_CSE_NI,B,0.16416512607100583,False,16,2,2,True
5_parahippocampal_volume_rh,Corteza parahipocampal,rh,volume,EntropyRatio_NI,46,-0.18821184142926017,0.23862048917659492,-0.41796741832312423,0.06750873709096199,Edad+Genero+Grupo+eTIV,-0.30733292648231236,17,-0.18744590415736784,19,,10,volume_EntropyRatio_NI,B,0.4242142029806132,False,16,2,2,True
5_parahippocampal_LGI_lh,Corteza parahipocampal,lh,LGI,CSE_NI,45,-0.0009665387984240877,0.9952147402048668,-0.3504636781712123,0.3257616281019593,Edad+Genero+Grupo,0.1380071333284281,17,-0.2081852133736384,18,,10,LGI_CSE_NI,B,0.9952147402048668,False,14,1,2,False
5_parahippocampal_LGI_lh,Corteza parahipocampal,lh,LGI,EntropyRatio_NI,45,-0.03766023587172027,0.8151646516327465,-0.41036316258951944,0.29968517094850844,Edad+Genero+Grupo,0.4109043573510111,17,-0.20150126538697988,18,,10,LGI_EntropyRatio_NI,B,0.8982939080061468,False,14,1,2,False
5_parahippocampal_LGI_rh,Corteza parahipocampal,rh,LGI,CSE_NI,45,0.06263389904178986,0.6972522444399238,-0.2730372929231811,0.41952820382832384,Edad+Genero+Grupo,-0.11176843447748522,17,0.04218401861983472,18,,10,LGI_CSE_NI,B,0.7956320625816907,False,14,1,2,False
5_parahippocampal_LGI_rh,Corteza parahipocampal,rh,LGI,EntropyRatio_NI,45,-0.02322511086258157,0.8853949894963458,-0.33158335497098274,0.3278593902029085,Edad+Genero+Grupo,0.261653359105132,17,-0.03263491970813102,18,,10,LGI_EntropyRatio_NI,B,0.8982939080061468,False,14,1,2,False
6_entorhinal_thickness_lh,Corteza entorrinal,lh,thickness,CSE_NI,46,0.20928310539465295,0.18346447145647102,-0.14558591348748748,0.5426573180459736,Edad+Genero+Grupo,-0.3448413409347603,17,0.4596164701011957,19,,10,thickness_CSE_NI,B,0.5137005200781188,False,14,1,2,False
6_entorhinal_thickness_lh,Corteza entorrinal,lh,thickness,EntropyRatio_NI,46,0.03881549300657646,0.8071893706857909,-0.27593093641870436,0.3696898461013578,Edad+Genero+Grupo,-0.45969163483873354,17,0.30045882585631567,19,,10,thickness_EntropyRatio_NI,B,0.8679609068253451,False,14,1,2,False
6_entorhinal_thickness_rh,Corteza entorrinal,rh,thickness,CSE_NI,46,0.21057693609614941,0.1807088174729389,-0.165322068542418,0.5030514009956724,Edad+Genero+Grupo,-0.2994097165151248,17,0.47558232721790594,19,,10,thickness_CSE_NI,B,0.5137005200781188,False,14,1,2,False
6_entorhinal_thickness_rh,Corteza entorrinal,rh,thickness,EntropyRatio_NI,46,0.13664108249870555,0.38820973204829445,-0.1844671880203227,0.4215887626897841,Edad+Genero+Grupo,-0.05545107060303652,17,0.3206082256020406,19,,10,thickness_EntropyRatio_NI,B,0.603881805408458,False,14,1,2,False
6_entorhinal_area_lh,Corteza entorrinal,lh,area,CSE_NI,46,0.12650864086433128,0.4305950363061815,-0.19003362377790145,0.41656730617269977,Edad+Genero+Grupo+eTIV,0.14362858713225476,17,0.1448563830210844,19,,10,area_CSE_NI,B,0.861190072612363,False,14,2,2,True
6_entorhinal_area_lh,Corteza entorrinal,lh,area,EntropyRatio_NI,46,0.2004436124143055,0.2089084340030061,-0.11122270840066012,0.506652004333928,Edad+Genero+Grupo+eTIV,0.022367574599604166,17,0.16463088706954623,19,,10,area_EntropyRatio_NI,B,0.7166391190797449,False,14,2,2,True
