variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
6_entorhinal_volume_lh,Corteza entorrinal,lh,volume,Niigata,31,-0.4014426304891543,0.03794281261858551,-0.6965594310440115,-0.026080366836479067,Edad+Genero+Grupo+eTIV,0.21083838539613042,14,-0.314924332807012,17,volume_Niigata,B,0.3950027415269783,False,86,1,2,False
6_entorhinal_volume_lh,Corteza entorrinal,lh,volume,DHI,30,-0.125943319798751,0.5398413460549351,-0.5486950263237019,0.3249999686946469,Edad+Genero+Grupo+eTIV,0.49792622885818605,13,-0.1041485057676349,17,volume_DHI,B,0.813275934663149,False,86,1,2,False
6_entorhinal_volume_rh,Corteza entorrinal,rh,volume,Niigata,31,-0.01319024098877996,0.947936732128676,-0.441428062533199,0.39156785759254154,Edad+Genero+Grupo+eTIV,-0.12261443488235363,14,0.11043997461190487,17,volume_Niigata,B,0.970506654322216,False,86,1,2,False
6_entorhinal_volume_rh,Corteza entorrinal,rh,volume,DHI,30,0.08054257003845776,0.6957037263198969,-0.3499960917869855,0.5059207415549584,Edad+Genero+Grupo+eTIV,0.13892418716699997,13,-0.016131965283999277,17,volume_DHI,B,0.8743662337665051,False,86,1,2,False
6_entorhinal_LGI_lh,Corteza entorrinal,lh,LGI,Niigata,31,-0.045346271943883666,0.8187696788447582,-0.3854937260372836,0.39243692380054496,Edad+Genero+Grupo,-0.09256029930305029,14,-0.10433381649909823,17,LGI_Niigata,B,0.9703936934456393,False,32,2,2,True
6_entorhinal_LGI_lh,Corteza entorrinal,lh,LGI,DHI,30,-0.11041022548880358,0.5835256907969697,-0.49482150427018845,0.31533146554423275,Edad+Genero+Grupo,-0.2155277523750435,13,0.05131143793274132,17,LGI_DHI,B,0.9159612902733524,False,32,1,2,False
6_entorhinal_LGI_rh,Corteza entorrinal,rh,LGI,Niigata,31,0.059153283343948586,0.7649394313584545,-0.33125110022755916,0.4393265387287004,Edad+Genero+Grupo,0.15945369502643575,14,-0.1791918084259721,17,LGI_Niigata,B,0.9703936934456393,False,32,1,2,False
6_entorhinal_LGI_rh,Corteza entorrinal,rh,LGI,DHI,30,0.1785920000254518,0.3727812843274377,-0.220903519101899,0.5236642945490033,Edad+Genero+Grupo,0.440552195064327,13,0.03577737492093517,17,LGI_DHI,B,0.9159612902733524,False,32,2,2,True
7_precuneus_thickness_lh,Precúneo,lh,thickness,Niigata,31,-0.4059550275947758,0.03207733063119256,-0.6800396025271129,-0.04851893650761315,Edad+Genero+Grupo,-0.7049051540720669,14,-0.34948129661845684,17,thickness_Niigata,B,0.08225438227820141,False,32,2,2,True
7_precuneus_thickness_lh,Precúneo,lh,thickness,DHI,30,-0.43418074090432257,0.023643348491505588,-0.721297994188745,-0.05998488864796755,Edad+Genero+Grupo,-0.3227642045770382,13,-0.5234352422107122,17,thickness_DHI,B,0.05105339627726459,False,32,2,2,True
