variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
5_parahippocampal_volume_lh,Corteza parahipocampal,lh,volume,DHI,30,-0.04380798344068253,0.8317220817345305,-0.4138950899456793,0.3894900342294137,Edad+Genero+Grupo+eTIV,0.02714075175649343,13,-0.266231338723888,17,volume_DHI,B,0.9035060227557992,False,17,1,2,False
5_parahippocampal_volume_rh,Corteza parahipocampal,rh,volume,CSE_NI,36,-0.3183609538686954,0.07576578822817899,-0.5851650785336615,0.028532113060253706,Edad+Genero+Grupo+eTIV,-0.4579238673779785,17,-0.12782400436280655,19,volume_CSE_NI,B,0.6366514645539989,False,17,2,2,True
5_parahippocampal_volume_rh,Corteza parahipocampal,rh,volume,EntropyRatio_NI,36,-0.2844226208318447,0.11463269641791615,-0.5532391569197871,0.018506169634248275,Edad+Genero+Grupo+eTIV,-0.30733292648231236,17,-0.18744590415736784,19,volume_EntropyRatio_NI,B,0.45446653350119054,False,17,2,2,True
5_parahippocampal_volume_rh,Corteza parahipocampal,rh,volume,Niigata,31,-0.26946875534793485,0.17406889146297141,-0.6867344580935594,0.17165776412294073,Edad+Genero+Grupo+eTIV,-0.564413951259048,14,-0.18399174303661867,17,volume_Niigata,B,0.2959171154870514,False,17,2,2,True
5_parahippocampal_volume_rh,Corteza parahipocampal,rh,volume,DHI,30,0.0388985913110167,0.8503586096525169,-0.4199866400451383,0.40320066295653295,Edad+Genero+Grupo+eTIV,-0.09081604536946372,13,0.12607903410283114,17,volume_DHI,B,0.9035060227557992,False,17,1,2,False
5_parahippocampal_LGI_lh,Corteza parahipocampal,lh,LGI,CSE_NI,35,-0.006223659728298965,0.9730319478131151,-0.4305729027328329,0.3810901031065541,Edad+Genero+Grupo,0.1380071333284281,17,-0.2081852133736384,18,LGI_CSE_NI,B,0.9730319478131151,False,15,1,2,False
5_parahippocampal_LGI_lh,Corteza parahipocampal,lh,LGI,EntropyRatio_NI,35,0.10923360590421326,0.5517636587392346,-0.28278233019341575,0.47217571711847406,Edad+Genero+Grupo,0.4109043573510111,17,-0.20150126538697988,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,15,1,2,False
5_parahippocampal_LGI_lh,Corteza parahipocampal,lh,LGI,Niigata,31,-0.027150716702371746,0.8909178222824434,-0.41131241358449727,0.37714180781634143,Edad+Genero+Grupo,-0.4425799838295035,14,0.07653740565233622,17,LGI_Niigata,B,0.9742131553772617,False,15,1,2,False
5_parahippocampal_LGI_lh,Corteza parahipocampal,lh,LGI,DHI,30,-0.17792267697858993,0.3746048770684456,-0.5551067133541456,0.287322581529869,Edad+Genero+Grupo,-0.7268101332060853,13,0.11204510832465449,17,LGI_DHI,B,0.7023841445033355,False,15,1,2,False
5_parahippocampal_LGI_rh,Corteza parahipocampal,rh,LGI,CSE_NI,35,0.04259356080386188,0.816954204396287,-0.36445208376584154,0.45257780278447163,Edad+Genero+Grupo,-0.11176843447748522,17,0.04218401861983472,18,LGI_CSE_NI,B,0.9033713472472739,False,15,1,2,False
5_parahippocampal_LGI_rh,Corteza parahipocampal,rh,LGI,EntropyRatio_NI,35,0.05310031998371382,0.7728618856873596,-0.37983924418601367,0.4207489366237258,Edad+Genero+Grupo,0.261653359105132,17,-0.03263491970813102,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,15,1,2,False
5_parahippocampal_LGI_rh,Corteza parahipocampal,rh,LGI,Niigata,31,-0.13642733311731373,0.4887868040447447,-0.5425281691715992,0.32431814425470956,Edad+Genero+Grupo,-0.45930755855250865,14,-0.10684210582578912,17,LGI_Niigata,B,0.9742131553772617,False,15,2,2,True
5_parahippocampal_LGI_rh,Corteza parahipocampal,rh,LGI,DHI,30,0.04261495361363537,0.8328471663700061,-0.3702136894226962,0.4876953435693263,Edad+Genero+Grupo,0.005190327555275107,13,0.09844497269399925,17,LGI_DHI,B,0.9655487666095627,False,15,2,2,True
6_entorhinal_thickness_lh,Corteza entorrinal,lh,thickness,CSE_NI,36,0.22774214780957944,0.2024286942075119,-0.14811946172091392,0.5853880569176053,Edad+Genero+Grupo,-0.3448413409347603,17,0.4596164701011957,19,thickness_CSE_NI,B,0.5207953043449923,False,15,1,2,False
6_entorhinal_thickness_lh,Corteza entorrinal,lh,thickness,EntropyRatio_NI,36,-0.011613374428761942,0.9488560195100035,-0.3497959219988434,0.3260271943434154,Edad+Genero+Grupo,-0.45969163483873354,17,0.30045882585631567,19,thickness_EntropyRatio_NI,B,0.9488560195100035,False,15,1,2,False
6_entorhinal_thickness_lh,Corteza entorrinal,lh,thickness,Niigata,31,-0.01892402708804633,0.9238546145692965,-0.40880346294116404,0.38502483109253133,Edad+Genero+Grupo,-0.10482890358057806,14,0.00947597748865468,17,thickness_Niigata,B,0.9238546145692965,False,15,1,2,False
6_entorhinal_thickness_lh,Corteza entorrinal,lh,thickness,DHI,30,-0.13479299708400108,0.5026460269313766,-0.5316332983543739,0.3191918380766308,Edad+Genero+Grupo,-0.030878767440577673,13,-0.07993025151662286,17,thickness_DHI,B,0.5799761849208191,False,15,2,2,True
6_entorhinal_thickness_rh,Corteza entorrinal,rh,thickness,CSE_NI,36,0.1871891264944936,0.2968959077061874,-0.22787591468620716,0.5562578831364513,Edad+Genero+Grupo,-0.2994097165151248,17,0.47558232721790594,19,thickness_CSE_NI,B,0.5566798269491013,False,15,1,2,False
6_entorhinal_thickness_rh,Corteza entorrinal,rh,thickness,EntropyRatio_NI,36,0.07581069547320125,0.67498849642212,-0.2686605428068296,0.4504809351438681,Edad+Genero+Grupo,-0.05545107060303652,17,0.3206082256020406,19,thickness_EntropyRatio_NI,B,0.9109326594512521,False,15,1,2,False
6_entorhinal_thickness_rh,Corteza entorrinal,rh,thickness,Niigata,31,0.04331249547149388,0.8267735874520183,-0.41109597367305645,0.5341960489929178,Edad+Genero+Grupo,-0.6458445096365403,14,0.3340075372336004,17,thickness_Niigata,B,0.885828843698591,False,15,1,2,False
6_entorhinal_thickness_rh,Corteza entorrinal,rh,thickness,DHI,30,-0.13491581837779754,0.5022532197256797,-0.5405205034172772,0.366518299901953,Edad+Genero+Grupo,-0.5755521451791484,13,0.005729297103334086,17,thickness_DHI,B,0.5799761849208191,False,15,1,2,False
6_entorhinal_area_lh,Corteza entorrinal,lh,area,CSE_NI,36,0.03212245502750222,0.8614510990869304,-0.3232361374535799,0.3365920758234475,Edad+Genero+Grupo+eTIV,0.14362858713225476,17,0.1448563830210844,19,area_CSE_NI,B,0.9229833204502825,False,15,2,2,True
6_entorhinal_area_lh,Corteza entorrinal,lh,area,EntropyRatio_NI,36,0.10981273515412214,0.549643913762658,-0.2697763157736399,0.4195815105155622,Edad+Genero+Grupo+eTIV,0.022367574599604166,17,0.16463088706954623,19,area_EntropyRatio_NI,B,0.8193805706435121,False,15,2,2,True
6_entorhinal_area_lh,Corteza entorrinal,lh,area,Niigata,31,-0.43343798669555295,0.023910118242902106,-0.747848785072858,-0.0760981167305499,Edad+Genero+Grupo+eTIV,0.32054449017626524,14,-0.45216935265563846,17,area_Niigata,B,0.35865177364353157,False,15,1,2,False
6_entorhinal_area_lh,Corteza entorrinal,lh,area,DHI,30,0.02704267257627365,0.8956700138277875,-0.4452633958234111,0.462599293387862,Edad+Genero+Grupo+eTIV,0.708646717373052,13,-0.1657856441221378,17,area_DHI,B,0.9549640922556978,False,15,1,2,False
6_entorhinal_area_rh,Corteza entorrinal,rh,area,CSE_NI,36,-0.054820876828976434,0.7657034146131008,-0.38408084952410404,0.3366361658626535,Edad+Genero+Grupo+eTIV,0.43346770216692104,17,-0.09915473041338535,19,area_CSE_NI,B,0.9090294481359784,False,15,1,2,False
6_entorhinal_area_rh,Corteza entorrinal,rh,area,EntropyRatio_NI,36,0.13232379001121483,0.4703318653818874,-0.19113749926069964,0.4897803783463786,Edad+Genero+Grupo+eTIV,0.22790825395459308,17,-0.0254960462766455,19,area_EntropyRatio_NI,B,0.8193805706435121,False,15,1,2,False
6_entorhinal_area_rh,Corteza entorrinal,rh,area,Niigata,31,-0.019033303712008908,0.9249277168519734,-0.4036194756320956,0.3417561173037834,Edad+Genero+Grupo+eTIV,0.1306402497105067,14,0.1526692895837968,17,area_Niigata,B,0.9787297085697452,False,15,0,2,False
6_entorhinal_area_rh,Corteza entorrinal,rh,area,DHI,30,0.18754539308119839,0.3589103561200809,-0.22484771256089808,0.5748812533563825,Edad+Genero+Grupo+eTIV,0.5072991000865674,13,0.051325582969266016,17,area_DHI,B,0.9549640922556978,False,15,2,2,True
6_entorhinal_volume_lh,Corteza entorrinal,lh,volume,CSE_NI,36,0.22015961685516278,0.22597770362232478,-0.13597103772472627,0.5395985028550647,Edad+Genero+Grupo+eTIV,0.08888014139707086,17,0.39922622769961247,19,volume_CSE_NI,B,0.7766904789199284,False,17,2,2,True
6_entorhinal_volume_lh,Corteza entorrinal,lh,volume,EntropyRatio_NI,36,0.12722905366563392,0.48773884711691307,-0.22398192758318874,0.43831887164247607,Edad+Genero+Grupo+eTIV,-0.1405379169527005,17,0.28319804862239484,19,volume_EntropyRatio_NI,B,0.6986180057432085,False,17,1,2,False
