variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
14_comp_LGI_lh,Cingulada anterior,lh,LGI,EntropyRatio_NI,35,0.2389470771802863,0.1878101988271515,-0.10108971077791275,0.5150672937432348,Edad+Genero+Grupo,0.34095191568407607,17,0.2865900687785425,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,32,2,2,True
14_comp_LGI_rh,Cingulada anterior,rh,LGI,CSE_NI,35,-0.014028098752352945,0.9392589431449043,-0.39059267577566914,0.3204864036990268,Edad+Genero+Grupo,-0.16952978512675992,17,0.13462462292664254,18,LGI_CSE_NI,B,0.9695576187302238,False,32,1,2,False
14_comp_LGI_rh,Cingulada anterior,rh,LGI,EntropyRatio_NI,35,0.1917020201077842,0.2932250812692961,-0.14399594570123914,0.47265278398215094,Edad+Genero+Grupo,0.24695854130260592,17,0.1979596253897959,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,32,2,2,True
15_rostralmiddlefrontal_thickness_lh,Prefrontal dorsolateral,lh,thickness,CSE_NI,36,0.11391671584801163,0.5278907038641806,-0.2786231504224012,0.43275645246432554,Edad+Genero+Grupo,-0.1600465646794807,17,0.35308517237510934,19,thickness_CSE_NI,B,0.8851692565092167,False,32,1,2,False
15_rostralmiddlefrontal_thickness_lh,Prefrontal dorsolateral,lh,thickness,EntropyRatio_NI,36,0.24224311398770765,0.17438286111238166,-0.11119332748374805,0.5411667142055736,Edad+Genero+Grupo,-0.050029836609508826,17,0.5519381126828027,19,thickness_EntropyRatio_NI,B,0.6010247887081233,False,32,1,2,False
15_rostralmiddlefrontal_thickness_rh,Prefrontal dorsolateral,rh,thickness,CSE_NI,36,-0.03445383442844131,0.8490372588836804,-0.34625140986867065,0.27760162531496924,Edad+Genero+Grupo,-0.1674269822981741,17,0.048839028230428884,19,thickness_CSE_NI,B,0.9329292623461795,False,32,1,2,False
15_rostralmiddlefrontal_thickness_rh,Prefrontal dorsolateral,rh,thickness,EntropyRatio_NI,36,0.17712514008779975,0.32408462793478293,-0.14982878125259488,0.47894370261183733,Edad+Genero+Grupo,-0.04076917662636398,17,0.34237767300882865,19,thickness_EntropyRatio_NI,B,0.6010247887081233,False,32,1,2,False
15_rostralmiddlefrontal_area_lh,Prefrontal dorsolateral,lh,area,CSE_NI,36,-0.22804290368033484,0.2093697749744153,-0.52745065532654,0.12559450398654948,Edad+Genero+Grupo+eTIV,-0.036994224866952446,17,-0.37128072698813525,19,area_CSE_NI,B,0.6661314904520594,False,32,2,2,True
15_rostralmiddlefrontal_area_lh,Prefrontal dorsolateral,lh,area,EntropyRatio_NI,36,-0.14888423227860614,0.41607161675230186,-0.47557515773453996,0.20033049109176032,Edad+Genero+Grupo+eTIV,0.18236688860803418,17,-0.4964831809081978,19,area_EntropyRatio_NI,B,0.9322826549021819,False,32,1,2,False
15_rostralmiddlefrontal_area_rh,Prefrontal dorsolateral,rh,area,CSE_NI,36,-0.4089646988602912,0.020120748309796755,-0.6628670025109483,-0.01658877851500909,Edad+Genero+Grupo+eTIV,-0.22363476592816636,17,-0.5821390377126844,19,area_CSE_NI,B,0.6438639459134962,False,32,2,2,True
15_rostralmiddlefrontal_area_rh,Prefrontal dorsolateral,rh,area,EntropyRatio_NI,36,-0.49066798426652003,0.004354998343379546,-0.7231008117131282,-0.17045758894394486,Edad+Genero+Grupo+eTIV,-0.3679217271742099,17,-0.6667907395688777,19,area_EntropyRatio_NI,B,0.13935994698814547,False,32,2,2,True
15_rostralmiddlefrontal_volume_lh,Prefrontal dorsolateral,lh,volume,CSE_NI,36,-0.18593594061490315,0.30825758546908005,-0.5079618639463613,0.19605800306106216,Edad+Genero+Grupo+eTIV,-0.15554509266395453,17,-0.3012012446257097,19,volume_CSE_NI,B,0.9567684641457884,False,86,2,2,True
15_rostralmiddlefrontal_volume_lh,Prefrontal dorsolateral,lh,volume,EntropyRatio_NI,36,-0.08049489320131782,0.6614273773403935,-0.38913713701579083,0.24103412133387503,Edad+Genero+Grupo+eTIV,0.045044276591298546,17,-0.2047084175278931,19,volume_EntropyRatio_NI,B,0.9833513990742859,False,86,1,2,False
15_rostralmiddlefrontal_volume_rh,Prefrontal dorsolateral,rh,volume,CSE_NI,36,-0.3971096198571854,0.024419682840652338,-0.6543504016083223,-0.004827928692534893,Edad+Genero+Grupo+eTIV,-0.46747016122854673,17,-0.4321726448679851,19,volume_CSE_NI,B,0.9567684641457884,False,86,2,2,True
15_rostralmiddlefrontal_volume_rh,Prefrontal dorsolateral,rh,volume,EntropyRatio_NI,36,-0.38670532732156965,0.028789427847533237,-0.6436356134044157,0.01252845339435086,Edad+Genero+Grupo+eTIV,-0.4764145748909534,17,-0.342119226054411,19,volume_EntropyRatio_NI,B,0.7268514450631505,False,86,2,2,True
